fam,pid,addr,size,lvl,id,lbl,def,unit,min_max,descr,fmt,rw,opt
sys,0.1.17,5436,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.17,5440,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.17,5442,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.17,5444,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.17,5448,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.18,5700,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.18,5702,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.18,5704,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
sys,0.1.18,5706,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.18,5708,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.18,5710,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.18,5712,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.18,5714,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.18,5716,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.18,5718,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.18,5720,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.18,5722,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.18,5728,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.18,5730,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.18,5732,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.18,5736,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.18,5740,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.18,5742,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.18,5744,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.18,5748,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.19,6000,2,ViewOnly,0,Phase voltage,0,V,-,Phase voltage RMS measured.,float,R,-
sys,0.1.19,6002,2,ViewOnly,4,Current,0,A,-,Current RMS measured.,float,R,-
sys,0.1.19,6004,2,ViewOnly,8,Active power,0,W,-,Active power measured.,float,R,-
